

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   180.00000 -0.334126E+02  0.379056E+02 -0.334416E+02  0.313592E+02 -0.457067E+01   -931.474  -2579.457   -496.905     180
   181.00000 -0.340826E+02  0.383030E+02 -0.341116E+02  0.316783E+02 -0.457872E+01   -330.805  -2379.155   -502.726     181
   182.00000 -0.340826E+02  0.388323E+02 -0.341120E+02  0.321168E+02 -0.458657E+01   -910.906  -2537.248   -508.430     182
   183.00000 -0.340826E+02  0.392126E+02 -0.341106E+02  0.324113E+02 -0.459420E+01  -1672.074  -3127.222   -514.030     183
   184.00000 -0.342726E+02  0.396687E+02 -0.343007E+02  0.327133E+02 -0.460166E+01   -820.732  -3774.113   -519.551     184
   185.00000 -0.368826E+02  0.397158E+02 -0.369105E+02  0.327506E+02 -0.460893E+01   -126.000   -869.632   -524.986     185
   186.00000 -0.369126E+02  0.401029E+02 -0.369406E+02  0.331372E+02 -0.461600E+01   -346.474   -506.068   -530.333     186
   187.00000 -0.369126E+02  0.404344E+02 -0.369404E+02  0.334687E+02 -0.462287E+01   -503.957   -583.088   -535.589     187
   188.00000 -0.369726E+02  0.408728E+02 -0.370004E+02  0.339071E+02 -0.462957E+01   -638.576   -732.091   -540.769     188
   189.00000 -0.370026E+02  0.413148E+02 -0.370304E+02  0.343491E+02 -0.463609E+01   -937.586   -974.407   -545.865     189
   190.00000 -0.388926E+02  0.417377E+02 -0.389204E+02  0.347720E+02 -0.464244E+01   -157.883   -530.316   -550.863     190
   191.00000 -0.411626E+02  0.419778E+02 -0.411900E+02  0.350121E+02 -0.464861E+01   -110.683   -192.415   -555.723     191
   192.00000 -0.411626E+02  0.423429E+02 -0.411905E+02  0.353772E+02 -0.465460E+01   -242.071   -253.979   -560.396     192
   193.00000 -0.412400E+02  0.427343E+02 -0.412679E+02  0.357685E+02 -0.466044E+01   -305.211   -316.981   -564.849     193
   194.00000 -0.412400E+02  0.431955E+02 -0.412684E+02  0.362298E+02 -0.466611E+01   -432.586   -402.477   -568.715     194
   195.00000 -0.412258E+02  0.437246E+02 -0.412547E+02  0.367589E+02 -0.467168E+01   -643.143   -530.795   -571.000     195
   196.00000 -0.412258E+02  0.442860E+02 -0.412551E+02  0.373203E+02 -0.467722E+01  -1020.589   -737.208   -571.087     196
   197.00000 -0.412140E+02  0.448649E+02 -0.412356E+02  0.377728E+02 -0.468287E+01  -2487.356  -1182.532   -568.535     197
   198.00000 -0.412140E+02  0.454304E+02 -0.412328E+02  0.381092E+02 -0.468864E+01  -3859.349  -1845.595   -564.652     198
   199.00000 -0.412081E+02  0.459919E+02 -0.412238E+02  0.383630E+02 -0.469457E+01  -7443.385  -2682.157   -560.321     199
   200.00000 -0.412026E+02  0.465273E+02 -0.412179E+02  0.385565E+02 -0.470065E+01 -11283.658  -3496.077   -556.210     200
   201.00000 -0.412026E+02  0.471002E+02 -0.412179E+02  0.387208E+02 -0.470685E+01  -9230.447  -4036.323   -552.784     201
